precinct,office,district,candidate,party,votes
32-820 Kodiak No. 1,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,7
32-820 Kodiak No. 1,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,16
32-820 Kodiak No. 1,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,151
32-820 Kodiak No. 1,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,3
32-820 Kodiak No. 1,State House,32,Registered Voters,,1986
32-820 Kodiak No. 1,State House,32,Times Counted,,77
32-820 Kodiak No. 1,State House,32,"Harris, Dennis P.",DEM,71
32-820 Kodiak No. 1,State House,32,Registered Voters,,1986
32-820 Kodiak No. 1,State House,32,Times Counted,,210
32-820 Kodiak No. 1,State House,32,"Walker, Richard H.",REP,88
32-820 Kodiak No. 1,State House,32,"Stutes, Louise",REP,120
32-825 Kodiak No. 2,U.S. House,1,Registered Voters,,2001
32-825 Kodiak No. 2,U.S. House,1,Times Counted,,89
32-825 Kodiak No. 2,U.S. House,1,"Cumings, Christophe",DEM,12
32-825 Kodiak No. 2,U.S. House,1,"Galvin, Alyse S.",DEM,29
32-825 Kodiak No. 2,U.S. House,1,"Hafner, Carol",DEM,23
32-825 Kodiak No. 2,U.S. House,1,"Shein, Dimitri",DEM,15
32-825 Kodiak No. 2,U.S. House,1,Registered Voters,,2001
32-825 Kodiak No. 2,U.S. House,1,Times Counted,,218
32-825 Kodiak No. 2,U.S. House,1,"Nelson, Thomas",REP,35
32-825 Kodiak No. 2,U.S. House,1,"Whittaker, Jed",REP,40
32-825 Kodiak No. 2,U.S. House,1,"Young, Don",REP,135
32-825 Kodiak No. 2,GOVERNOR,,Registered Voters,,2001
32-825 Kodiak No. 2,GOVERNOR,,Times Counted,,89
32-825 Kodiak No. 2,GOVERNOR,,"Begich, Mark",DEM,70
32-825 Kodiak No. 2,GOVERNOR,,"Toien, William S.",LIB,12
32-825 Kodiak No. 2,GOVERNOR,,Registered Voters,,2001
32-825 Kodiak No. 2,GOVERNOR,,Times Counted,,218
32-825 Kodiak No. 2,GOVERNOR,,"Colbry, Darin A.",REP,4
32-825 Kodiak No. 2,GOVERNOR,,"Dunleavy, Mike J.",REP,71
32-825 Kodiak No. 2,GOVERNOR,,"Gordon, Thomas A.",REP,9
32-825 Kodiak No. 2,GOVERNOR,,"Heikes, Gerald L.",REP,13
32-825 Kodiak No. 2,GOVERNOR,,"Hlatcu, Merica",REP,6
32-825 Kodiak No. 2,GOVERNOR,,"Sheldon, Michael D.",REP,17
32-825 Kodiak No. 2,GOVERNOR,,"Treadwell, Mead",REP,83
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,Registered Voters,,2001
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,Times Counted,,89
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,64
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,Registered Voters,,2001
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,Times Counted,,218
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,10
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,7
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,15
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,25
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,142
32-825 Kodiak No. 2,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,10
32-825 Kodiak No. 2,State House,32,Registered Voters,,2001
32-825 Kodiak No. 2,State House,32,Times Counted,,89
32-825 Kodiak No. 2,State House,32,"Harris, Dennis P.",DEM,82
32-825 Kodiak No. 2,State House,32,Registered Voters,,2001
32-825 Kodiak No. 2,State House,32,Times Counted,,218
32-825 Kodiak No. 2,State House,32,"Walker, Richard H.",REP,110
32-825 Kodiak No. 2,State House,32,"Stutes, Louise",REP,107
32-830 Mission Road,U.S. House,1,Registered Voters,,3451
32-830 Mission Road,U.S. House,1,Times Counted,,150
32-830 Mission Road,U.S. House,1,"Cumings, Christophe",DEM,22
32-830 Mission Road,U.S. House,1,"Galvin, Alyse S.",DEM,45
32-830 Mission Road,U.S. House,1,"Hafner, Carol",DEM,44
32-830 Mission Road,U.S. House,1,"Shein, Dimitri",DEM,30
32-830 Mission Road,U.S. House,1,Registered Voters,,3451
32-830 Mission Road,U.S. House,1,Times Counted,,488
32-830 Mission Road,U.S. House,1,"Nelson, Thomas",REP,68
32-830 Mission Road,U.S. House,1,"Whittaker, Jed",REP,85
32-830 Mission Road,U.S. House,1,"Young, Don",REP,300
32-830 Mission Road,GOVERNOR,,Registered Voters,,3451
32-830 Mission Road,GOVERNOR,,Times Counted,,150
32-830 Mission Road,GOVERNOR,,"Begich, Mark",DEM,118
32-830 Mission Road,GOVERNOR,,"Toien, William S.",LIB,24
32-830 Mission Road,GOVERNOR,,Registered Voters,,3451
32-830 Mission Road,GOVERNOR,,Times Counted,,488
32-830 Mission Road,GOVERNOR,,"Colbry, Darin A.",REP,5
32-830 Mission Road,GOVERNOR,,"Dunleavy, Mike J.",REP,140
32-830 Mission Road,GOVERNOR,,"Gordon, Thomas A.",REP,20
32-830 Mission Road,GOVERNOR,,"Heikes, Gerald L.",REP,7
32-830 Mission Road,GOVERNOR,,"Hlatcu, Merica",REP,11
32-830 Mission Road,GOVERNOR,,"Sheldon, Michael D.",REP,12
32-830 Mission Road,GOVERNOR,,"Treadwell, Mead",REP,239
32-830 Mission Road,LIEUTENANT GOVERNOR,,Registered Voters,,3451
32-830 Mission Road,LIEUTENANT GOVERNOR,,Times Counted,,150
32-830 Mission Road,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,117
32-830 Mission Road,LIEUTENANT GOVERNOR,,Registered Voters,,3451
32-830 Mission Road,LIEUTENANT GOVERNOR,,Times Counted,,488
32-830 Mission Road,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,19
32-830 Mission Road,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,37
32-830 Mission Road,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,23
32-830 Mission Road,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,37
32-830 Mission Road,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,334
32-830 Mission Road,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,7
32-830 Mission Road,State House,32,Registered Voters,,3451
32-830 Mission Road,State House,32,Times Counted,,150
32-830 Mission Road,State House,32,"Harris, Dennis P.",DEM,131
32-830 Mission Road,State House,32,Registered Voters,,3451
32-830 Mission Road,State House,32,Times Counted,,488
32-830 Mission Road,State House,32,"Walker, Richard H.",REP,236
32-830 Mission Road,State House,32,"Stutes, Louise",REP,242
32-835 Old Harbor,U.S. House,1,Registered Voters,,165
32-835 Old Harbor,U.S. House,1,Times Counted,,18
32-835 Old Harbor,U.S. House,1,"Cumings, Christophe",DEM,4
32-835 Old Harbor,U.S. House,1,"Galvin, Alyse S.",DEM,4
32-835 Old Harbor,U.S. House,1,"Hafner, Carol",DEM,4
32-835 Old Harbor,U.S. House,1,"Shein, Dimitri",DEM,6
32-835 Old Harbor,U.S. House,1,Registered Voters,,165
32-835 Old Harbor,U.S. House,1,Times Counted,,21
32-835 Old Harbor,U.S. House,1,"Nelson, Thomas",REP,4
32-835 Old Harbor,U.S. House,1,"Whittaker, Jed",REP,2
32-835 Old Harbor,U.S. House,1,"Young, Don",REP,15
32-835 Old Harbor,GOVERNOR,,Registered Voters,,165
32-835 Old Harbor,GOVERNOR,,Times Counted,,18
32-835 Old Harbor,GOVERNOR,,"Begich, Mark",DEM,13
32-835 Old Harbor,GOVERNOR,,"Toien, William S.",LIB,5
32-835 Old Harbor,GOVERNOR,,Registered Voters,,165
32-835 Old Harbor,GOVERNOR,,Times Counted,,21
32-835 Old Harbor,GOVERNOR,,"Colbry, Darin A.",REP,2
32-835 Old Harbor,GOVERNOR,,"Dunleavy, Mike J.",REP,3
32-835 Old Harbor,GOVERNOR,,"Gordon, Thomas A.",REP,3
32-835 Old Harbor,GOVERNOR,,"Heikes, Gerald L.",REP,2
32-835 Old Harbor,GOVERNOR,,"Hlatcu, Merica",REP,1
32-835 Old Harbor,GOVERNOR,,"Sheldon, Michael D.",REP,3
32-835 Old Harbor,GOVERNOR,,"Treadwell, Mead",REP,7
32-835 Old Harbor,LIEUTENANT GOVERNOR,,Registered Voters,,165
32-835 Old Harbor,LIEUTENANT GOVERNOR,,Times Counted,,18
32-835 Old Harbor,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,15
32-835 Old Harbor,LIEUTENANT GOVERNOR,,Registered Voters,,165
32-835 Old Harbor,LIEUTENANT GOVERNOR,,Times Counted,,21
32-835 Old Harbor,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,1
32-835 Old Harbor,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,2
32-835 Old Harbor,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,4
32-835 Old Harbor,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,0
32-835 Old Harbor,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,13
32-835 Old Harbor,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,1
32-835 Old Harbor,State House,32,Registered Voters,,165
32-835 Old Harbor,State House,32,Times Counted,,18
32-835 Old Harbor,State House,32,"Harris, Dennis P.",DEM,18
32-835 Old Harbor,State House,32,Registered Voters,,165
32-835 Old Harbor,State House,32,Times Counted,,21
32-835 Old Harbor,State House,32,"Walker, Richard H.",REP,12
32-835 Old Harbor,State House,32,"Stutes, Louise",REP,9
32-840 Ouzinkie,U.S. House,1,Registered Voters,,148
32-840 Ouzinkie,U.S. House,1,Times Counted,,12
32-840 Ouzinkie,U.S. House,1,"Cumings, Christophe",DEM,3
32-840 Ouzinkie,U.S. House,1,"Galvin, Alyse S.",DEM,0
32-840 Ouzinkie,U.S. House,1,"Hafner, Carol",DEM,1
32-840 Ouzinkie,U.S. House,1,"Shein, Dimitri",DEM,6
32-840 Ouzinkie,U.S. House,1,Registered Voters,,148
32-840 Ouzinkie,U.S. House,1,Times Counted,,19
32-840 Ouzinkie,U.S. House,1,"Nelson, Thomas",REP,3
32-840 Ouzinkie,U.S. House,1,"Whittaker, Jed",REP,1
32-840 Ouzinkie,U.S. House,1,"Young, Don",REP,15
32-840 Ouzinkie,GOVERNOR,,Registered Voters,,148
32-840 Ouzinkie,GOVERNOR,,Times Counted,,12
32-840 Ouzinkie,GOVERNOR,,"Begich, Mark",DEM,12
32-840 Ouzinkie,GOVERNOR,,"Toien, William S.",LIB,0
32-840 Ouzinkie,GOVERNOR,,Registered Voters,,148
32-840 Ouzinkie,GOVERNOR,,Times Counted,,19
32-840 Ouzinkie,GOVERNOR,,"Colbry, Darin A.",REP,0
32-840 Ouzinkie,GOVERNOR,,"Dunleavy, Mike J.",REP,13
32-840 Ouzinkie,GOVERNOR,,"Gordon, Thomas A.",REP,0
32-840 Ouzinkie,GOVERNOR,,"Heikes, Gerald L.",REP,0
32-840 Ouzinkie,GOVERNOR,,"Hlatcu, Merica",REP,0
32-840 Ouzinkie,GOVERNOR,,"Sheldon, Michael D.",REP,0
32-840 Ouzinkie,GOVERNOR,,"Treadwell, Mead",REP,5
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,Registered Voters,,148
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,Times Counted,,12
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,10
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,Registered Voters,,148
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,Times Counted,,19
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,2
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,1
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,2
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,0
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,13
32-840 Ouzinkie,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,1
32-840 Ouzinkie,State House,32,Registered Voters,,148
32-840 Ouzinkie,State House,32,Times Counted,,12
32-840 Ouzinkie,State House,32,"Harris, Dennis P.",DEM,11
32-840 Ouzinkie,State House,32,Registered Voters,,148
32-840 Ouzinkie,State House,32,Times Counted,,19
32-840 Ouzinkie,State House,32,"Walker, Richard H.",REP,9
32-840 Ouzinkie,State House,32,"Stutes, Louise",REP,8
32-845 Port Lions,U.S. House,1,Registered Voters,,178
32-845 Port Lions,U.S. House,1,Times Counted,,7
32-845 Port Lions,U.S. House,1,"Cumings, Christophe",DEM,1
32-845 Port Lions,U.S. House,1,"Galvin, Alyse S.",DEM,2
32-845 Port Lions,U.S. House,1,"Hafner, Carol",DEM,1
32-845 Port Lions,U.S. House,1,"Shein, Dimitri",DEM,2
32-845 Port Lions,U.S. House,1,Registered Voters,,178
32-845 Port Lions,U.S. House,1,Times Counted,,17
32-845 Port Lions,U.S. House,1,"Nelson, Thomas",REP,2
32-845 Port Lions,U.S. House,1,"Whittaker, Jed",REP,0
32-845 Port Lions,U.S. House,1,"Young, Don",REP,15
32-845 Port Lions,GOVERNOR,,Registered Voters,,178
32-845 Port Lions,GOVERNOR,,Times Counted,,7
32-845 Port Lions,GOVERNOR,,"Begich, Mark",DEM,5
32-845 Port Lions,GOVERNOR,,"Toien, William S.",LIB,2
32-845 Port Lions,GOVERNOR,,Registered Voters,,178
32-845 Port Lions,GOVERNOR,,Times Counted,,17
32-845 Port Lions,GOVERNOR,,"Colbry, Darin A.",REP,0
32-845 Port Lions,GOVERNOR,,"Dunleavy, Mike J.",REP,11
32-845 Port Lions,GOVERNOR,,"Gordon, Thomas A.",REP,1
32-845 Port Lions,GOVERNOR,,"Heikes, Gerald L.",REP,0
32-845 Port Lions,GOVERNOR,,"Hlatcu, Merica",REP,0
32-845 Port Lions,GOVERNOR,,"Sheldon, Michael D.",REP,0
32-845 Port Lions,GOVERNOR,,"Treadwell, Mead",REP,4
32-845 Port Lions,LIEUTENANT GOVERNOR,,Registered Voters,,178
32-845 Port Lions,LIEUTENANT GOVERNOR,,Times Counted,,7
32-845 Port Lions,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,5
32-845 Port Lions,LIEUTENANT GOVERNOR,,Registered Voters,,178
32-845 Port Lions,LIEUTENANT GOVERNOR,,Times Counted,,17
32-845 Port Lions,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,0
32-845 Port Lions,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,1
32-845 Port Lions,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,1
32-845 Port Lions,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,0
32-845 Port Lions,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,15
32-845 Port Lions,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,0
32-845 Port Lions,State House,32,Registered Voters,,178
32-845 Port Lions,State House,32,Times Counted,,7
32-845 Port Lions,State House,32,"Harris, Dennis P.",DEM,4
32-845 Port Lions,State House,32,Registered Voters,,178
32-845 Port Lions,State House,32,Times Counted,,17
32-845 Port Lions,State House,32,"Walker, Richard H.",REP,7
32-845 Port Lions,State House,32,"Stutes, Louise",REP,10
32-847 Seldovia/Kachemak Bay,U.S. House,1,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,U.S. House,1,Times Counted,,38
32-847 Seldovia/Kachemak Bay,U.S. House,1,"Cumings, Christophe",DEM,2
32-847 Seldovia/Kachemak Bay,U.S. House,1,"Galvin, Alyse S.",DEM,23
32-847 Seldovia/Kachemak Bay,U.S. House,1,"Hafner, Carol",DEM,3
32-847 Seldovia/Kachemak Bay,U.S. House,1,"Shein, Dimitri",DEM,7
32-847 Seldovia/Kachemak Bay,U.S. House,1,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,U.S. House,1,Times Counted,,56
32-847 Seldovia/Kachemak Bay,U.S. House,1,"Nelson, Thomas",REP,6
32-847 Seldovia/Kachemak Bay,U.S. House,1,"Whittaker, Jed",REP,6
32-847 Seldovia/Kachemak Bay,U.S. House,1,"Young, Don",REP,40
32-847 Seldovia/Kachemak Bay,GOVERNOR,,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,GOVERNOR,,Times Counted,,38
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Begich, Mark",DEM,32
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Toien, William S.",LIB,3
32-847 Seldovia/Kachemak Bay,GOVERNOR,,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,GOVERNOR,,Times Counted,,56
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Colbry, Darin A.",REP,0
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Dunleavy, Mike J.",REP,14
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Gordon, Thomas A.",REP,0
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Heikes, Gerald L.",REP,1
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Hlatcu, Merica",REP,2
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Sheldon, Michael D.",REP,4
32-847 Seldovia/Kachemak Bay,GOVERNOR,,"Treadwell, Mead",REP,33
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,Times Counted,,38
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,31
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,Times Counted,,56
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,5
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,12
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,2
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,13
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,17
32-847 Seldovia/Kachemak Bay,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,2
32-847 Seldovia/Kachemak Bay,State House,32,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,State House,32,Times Counted,,38
32-847 Seldovia/Kachemak Bay,State House,32,"Harris, Dennis P.",DEM,32
32-847 Seldovia/Kachemak Bay,State House,32,Registered Voters,,484
32-847 Seldovia/Kachemak Bay,State House,32,Times Counted,,56
32-847 Seldovia/Kachemak Bay,State House,32,"Walker, Richard H.",REP,34
32-847 Seldovia/Kachemak Bay,State House,32,"Stutes, Louise",REP,20
32-850 Tatitlek,U.S. House,1,Registered Voters,,130
32-850 Tatitlek,U.S. House,1,Times Counted,,12
32-850 Tatitlek,U.S. House,1,"Cumings, Christophe",DEM,3
32-850 Tatitlek,U.S. House,1,"Galvin, Alyse S.",DEM,2
32-850 Tatitlek,U.S. House,1,"Hafner, Carol",DEM,3
32-850 Tatitlek,U.S. House,1,"Shein, Dimitri",DEM,4
32-850 Tatitlek,U.S. House,1,Registered Voters,,130
32-850 Tatitlek,U.S. House,1,Times Counted,,4
32-850 Tatitlek,U.S. House,1,"Nelson, Thomas",REP,1
32-850 Tatitlek,U.S. House,1,"Whittaker, Jed",REP,1
32-850 Tatitlek,U.S. House,1,"Young, Don",REP,2
32-850 Tatitlek,GOVERNOR,,Registered Voters,,130
32-850 Tatitlek,GOVERNOR,,Times Counted,,12
32-850 Tatitlek,GOVERNOR,,"Begich, Mark",DEM,6
32-850 Tatitlek,GOVERNOR,,"Toien, William S.",LIB,6
32-850 Tatitlek,GOVERNOR,,Registered Voters,,130
32-850 Tatitlek,GOVERNOR,,Times Counted,,4
32-850 Tatitlek,GOVERNOR,,"Colbry, Darin A.",REP,0
32-850 Tatitlek,GOVERNOR,,"Dunleavy, Mike J.",REP,1
32-850 Tatitlek,GOVERNOR,,"Gordon, Thomas A.",REP,1
32-850 Tatitlek,GOVERNOR,,"Heikes, Gerald L.",REP,0
32-850 Tatitlek,GOVERNOR,,"Hlatcu, Merica",REP,0
32-850 Tatitlek,GOVERNOR,,"Sheldon, Michael D.",REP,0
32-850 Tatitlek,GOVERNOR,,"Treadwell, Mead",REP,2
32-850 Tatitlek,LIEUTENANT GOVERNOR,,Registered Voters,,130
32-850 Tatitlek,LIEUTENANT GOVERNOR,,Times Counted,,12
32-850 Tatitlek,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,12
32-850 Tatitlek,LIEUTENANT GOVERNOR,,Registered Voters,,130
32-850 Tatitlek,LIEUTENANT GOVERNOR,,Times Counted,,4
32-850 Tatitlek,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,0
32-850 Tatitlek,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,1
32-850 Tatitlek,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,0
32-850 Tatitlek,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,3
32-850 Tatitlek,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,0
32-850 Tatitlek,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,0
32-850 Tatitlek,State House,32,Registered Voters,,130
32-850 Tatitlek,State House,32,Times Counted,,12
32-850 Tatitlek,State House,32,"Harris, Dennis P.",DEM,12
32-850 Tatitlek,State House,32,Registered Voters,,130
32-850 Tatitlek,State House,32,Times Counted,,4
32-850 Tatitlek,State House,32,"Walker, Richard H.",REP,1
32-850 Tatitlek,State House,32,"Stutes, Louise",REP,3
32-855 Tyonek,U.S. House,1,Registered Voters,,404
32-855 Tyonek,U.S. House,1,Times Counted,,10
32-855 Tyonek,U.S. House,1,"Cumings, Christophe",DEM,1
32-855 Tyonek,U.S. House,1,"Galvin, Alyse S.",DEM,0
32-855 Tyonek,U.S. House,1,"Hafner, Carol",DEM,6
32-855 Tyonek,U.S. House,1,"Shein, Dimitri",DEM,3
32-855 Tyonek,U.S. House,1,Registered Voters,,404
32-855 Tyonek,U.S. House,1,Times Counted,,3
32-855 Tyonek,U.S. House,1,"Nelson, Thomas",REP,1
32-855 Tyonek,U.S. House,1,"Whittaker, Jed",REP,1
32-855 Tyonek,U.S. House,1,"Young, Don",REP,1
32-855 Tyonek,GOVERNOR,,Registered Voters,,404
32-855 Tyonek,GOVERNOR,,Times Counted,,10
32-855 Tyonek,GOVERNOR,,"Begich, Mark",DEM,10
32-855 Tyonek,GOVERNOR,,"Toien, William S.",LIB,0
32-855 Tyonek,GOVERNOR,,Registered Voters,,404
32-855 Tyonek,GOVERNOR,,Times Counted,,3
32-855 Tyonek,GOVERNOR,,"Colbry, Darin A.",REP,0
32-855 Tyonek,GOVERNOR,,"Dunleavy, Mike J.",REP,1
32-855 Tyonek,GOVERNOR,,"Gordon, Thomas A.",REP,0
32-855 Tyonek,GOVERNOR,,"Heikes, Gerald L.",REP,0
32-855 Tyonek,GOVERNOR,,"Hlatcu, Merica",REP,0
32-855 Tyonek,GOVERNOR,,"Sheldon, Michael D.",REP,0
32-855 Tyonek,GOVERNOR,,"Treadwell, Mead",REP,2
32-855 Tyonek,LIEUTENANT GOVERNOR,,Registered Voters,,404
32-855 Tyonek,LIEUTENANT GOVERNOR,,Times Counted,,10
32-855 Tyonek,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,10
32-855 Tyonek,LIEUTENANT GOVERNOR,,Registered Voters,,404
32-855 Tyonek,LIEUTENANT GOVERNOR,,Times Counted,,3
32-855 Tyonek,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,1
32-855 Tyonek,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,0
32-855 Tyonek,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,0
32-855 Tyonek,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,2
32-855 Tyonek,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,0
32-855 Tyonek,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,0
32-855 Tyonek,State House,32,Registered Voters,,404
32-855 Tyonek,State House,32,Times Counted,,10
32-855 Tyonek,State House,32,"Harris, Dennis P.",DEM,10
32-855 Tyonek,State House,32,Registered Voters,,404
32-855 Tyonek,State House,32,Times Counted,,3
32-855 Tyonek,State House,32,"Walker, Richard H.",REP,1
32-855 Tyonek,State House,32,"Stutes, Louise",REP,2
32-860 Yakutat,U.S. House,1,Registered Voters,,470
32-860 Yakutat,U.S. House,1,Times Counted,,30
32-860 Yakutat,U.S. House,1,"Cumings, Christophe",DEM,4
32-860 Yakutat,U.S. House,1,"Galvin, Alyse S.",DEM,16
32-860 Yakutat,U.S. House,1,"Hafner, Carol",DEM,5
32-860 Yakutat,U.S. House,1,"Shein, Dimitri",DEM,3
32-860 Yakutat,U.S. House,1,Registered Voters,,470
32-860 Yakutat,U.S. House,1,Times Counted,,46
32-860 Yakutat,U.S. House,1,"Nelson, Thomas",REP,15
32-860 Yakutat,U.S. House,1,"Whittaker, Jed",REP,7
32-860 Yakutat,U.S. House,1,"Young, Don",REP,23
32-860 Yakutat,GOVERNOR,,Registered Voters,,470
32-860 Yakutat,GOVERNOR,,Times Counted,,30
32-860 Yakutat,GOVERNOR,,"Begich, Mark",DEM,13
32-860 Yakutat,GOVERNOR,,"Toien, William S.",LIB,12
32-860 Yakutat,GOVERNOR,,Registered Voters,,470
32-860 Yakutat,GOVERNOR,,Times Counted,,46
32-860 Yakutat,GOVERNOR,,"Colbry, Darin A.",REP,1
32-860 Yakutat,GOVERNOR,,"Dunleavy, Mike J.",REP,21
32-860 Yakutat,GOVERNOR,,"Gordon, Thomas A.",REP,3
32-860 Yakutat,GOVERNOR,,"Heikes, Gerald L.",REP,1
32-860 Yakutat,GOVERNOR,,"Hlatcu, Merica",REP,2
32-860 Yakutat,GOVERNOR,,"Sheldon, Michael D.",REP,1
32-860 Yakutat,GOVERNOR,,"Treadwell, Mead",REP,15
32-860 Yakutat,LIEUTENANT GOVERNOR,,Registered Voters,,470
32-860 Yakutat,LIEUTENANT GOVERNOR,,Times Counted,,30
32-860 Yakutat,LIEUTENANT GOVERNOR,,"Call, Debra L.",DEM,18
32-860 Yakutat,LIEUTENANT GOVERNOR,,Registered Voters,,470
32-860 Yakutat,LIEUTENANT GOVERNOR,,Times Counted,,46
32-860 Yakutat,LIEUTENANT GOVERNOR,,"Gattis, Lynn",REP,6
32-860 Yakutat,LIEUTENANT GOVERNOR,,"Grunwald, Edie",REP,3
32-860 Yakutat,LIEUTENANT GOVERNOR,,"Jackson, Sharon D.",REP,5
32-860 Yakutat,LIEUTENANT GOVERNOR,,"Meyer, Kevin G.",REP,3
32-860 Yakutat,LIEUTENANT GOVERNOR,,"Stevens, Gary L.",REP,15
32-860 Yakutat,LIEUTENANT GOVERNOR,,"Wright, Stephen",REP,7
32-860 Yakutat,State House,32,Registered Voters,,470
32-860 Yakutat,State House,32,Times Counted,,30
32-860 Yakutat,State House,32,"Harris, Dennis P.",DEM,19
32-860 Yakutat,State House,32,Registered Voters,,470
32-860 Yakutat,State House,32,Times Counted,,46
